"","xaxis","riv_sort","River","site","site2","Reach","year","sex","pop","capture","exuv_m","gcmyr","halfwidth","predflux","obs_exp","wid","Sitemean","site_c_lo","site_c_high","river","Rivermean","riverCIlow","riverCIhigh","gcmyr01","siteyr","flux_50","dep_25","dep_50","dep_75","dep_100","color","exuvia_f_gcmyr","exuvia_m_gcmyr","exuvia_tot","adult_C","adult_P","adult_N","exuvia_C","exuvia_P","exuvia_N","dep_100c","dep_25c","dep_50c","dep_75c","dep_100N","dep_25N","dep_50N","dep_75N","dep_100P","dep_25P","dep_50P","dep_75P"
"1",1,1,"Colorado","Pumphouse","Pump",5,2013,0.54,"17,017.00","0.79",558.3,49.4,17.5,18.4,2.68,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,49.41,"Pumphouse 2013",24.7,2.28703703703704,4.57407407407407,6.86111111111111,9.14814814814815,"raw_data",2.95412,5.60196,8.55608,40.84392,0.329386451612903,6.4831619047619,5.561452,0.0291527725806452,0.573800603174603,13.1251408888889,7.45237422222222,9.34329644444444,11.2342186666667,1.77438614109347,0.873946987654321,1.17409337213404,1.47423975661376,0.0901502636200717,0.0444021453405018,0.0596515181003584,0.074900890860215
"2",2,1,"Colorado","State Bridge","Stat",6,2013,0.56,"10,181.20","0.85",339.4,29.5,16.5,17.4,1.7,33,1.7,1.05,2.34,"Colorado",0.6,0.26,0.95,29.51,"State Bridge 2013",14.75,1.36574074074074,2.73148148148148,4.09722222222222,5.46296296296296,"raw_data",1.6874,3.4692,5.1566,24.3434,0.196317741935484,3.86403174603175,3.35179,0.0175698669354839,0.345819603174603,7.85982703703704,4.47879925925926,5.60580851851852,6.73281777777778,1.06138103762493,0.524709961787184,0.703600320399765,0.882490679012346,0.0539250043309438,0.0266586512843489,0.0357474356332139,0.0448362199820789
"3",3,1,"Colorado","Pumphouse","Pump",5,2014,0.6,"10,885.00","0.84",362.8,30.6,17.5,18.4,1.66,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,30.61,"Pumphouse 2014",15.3,1.41666666666667,2.83333333333333,4.25,5.66666666666667,"raw_data",1.5912,3.8556,5.4468,25.1532,0.202848387096774,3.99257142857143,3.54042,0.0185586532258065,0.365281428571429,8.19842,4.70492,5.86942,7.03392,1.10464650793651,0.550122698412698,0.734963968253968,0.919805238095238,0.0561231693548387,0.0279497822580645,0.0373409112903226,0.0467320403225807
"4",4,1,"Colorado","Byers","Byer",1,2014,0.62,"5,216.50","0.81",173.9,14.4,9.5,10,1.45,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,14.41,"Byers 2014",7.2,0.666666666666667,1.33333333333333,2,2.66666666666667,"raw_data",0.71136,1.87488,2.58624,11.81376,0.0952722580645161,1.8752,1.681056,0.00881198709677419,0.173442285714286,3.86878933333333,2.22798933333333,2.77492266666667,3.321856,0.520701544973545,0.260257100529101,0.347071915343915,0.43388673015873,0.0264549978494624,0.0132227397849462,0.0176334924731183,0.0220442451612903
"5",5,1,"Colorado","Byers","Byer",1,2015,0.6,"4,337.10","0.82",144.6,12.2,9.5,10,1.22,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,12.21,"Byers 2015",6.1,0.564814814814815,1.12962962962963,1.69444444444444,2.25925925925926,"raw_data",0.6344,1.5372,2.1716,10.0284,0.0808741935483871,1.59180952380952,1.41154,0.00739920161290322,0.145635079365079,3.26865111111111,1.87581777777778,2.34009555555556,2.80437333333333,0.440414620811287,0.219329964726631,0.293024850088183,0.366719735449735,0.0223759041218638,0.0111433772401434,0.0148875528673835,0.0186317284946237
"6",6,1,"Colorado","Pumphouse","Pump",5,2015,0.5,"6,014.80","0.86",200.5,18.1,17.5,18.4,0.98,35,1.77,1.27,2.27,"Colorado",0.6,0.26,0.95,18.11,"Pumphouse 2015",9.05,0.837962962962963,1.67592592592593,2.51388888888889,3.35185185185185,"raw_data",1.1765,1.9005,3.077,15.023,0.121153225806452,2.38460317460317,2.00005,0.0104841330645161,0.206354365079365,4.78208703703704,2.69555925925926,3.39106851851852,4.08657777777778,0.647947545561434,0.316752660199882,0.4271509553204,0.537549250440917,0.0329199156212664,0.0160930787037037,0.0217020243428913,0.0273109699820789
"7",7,1,"Colorado","Byers","Byer",1,2013,0.56,"1,390.40","0.81",45.6,4,9.5,10,0.4,19,1.02,0.52,1.52,"Colorado",0.6,0.26,0.95,4.01,"Byers 2013",2,0.185185185185185,0.37037037037037,0.555555555555556,0.740740740740741,"raw_data",0.2288,0.4704,0.6992,3.3008,0.0266193548387097,0.523936507936508,0.45448,0.00238235483870968,0.0468907936507937,1.06573925925926,0.607294814814815,0.76010962962963,0.912924444444444,0.143916072898295,0.071147113462669,0.0954034332745444,0.11965975308642,0.00731186499402628,0.00361473237753883,0.00484710991636798,0.00607948745519713
"8",8,1,"Colorado","Gore Canyon","Gore",7,2012,0.45,"1,933.00","0.77",63.4,4.7,23,24.2,0.2,46,0.2,-0.44,0.85,"Colorado",0.6,0.26,0.95,4.71,"Gore Canyon 2012",2.35,0.217592592592593,0.435185185185185,0.652777777777778,0.87037037037037,"raw_data",0.33605,0.44415,0.7802,3.9198,0.0316112903225806,0.622190476190476,0.50713,0.00265834274193548,0.0523229365079365,1.23301888888889,0.688602222222222,0.870074444444444,1.05154666666667,0.167543395061728,0.0811280511463845,0.109933165784832,0.13873828042328,0.00851228539426523,0.00412182840501792,0.00558531406810036,0.0070487997311828
"9",9,1,"Colorado","Hitching Post","Hitc",2,2014,0.43,"13","0.4",0.4,0,7.3,7.6,0.01,14.5,0,-0.37,0.37,"Colorado",0.6,0.26,0.95,0.01,"Hitching Post 2014",0,0,0,0,0,"raw_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,1,"Colorado","Hwy 40 Bridge","Hwy ",3,2013,0.28,"37.3","0.81",1.2,0.1,11.8,12.4,0.01,23.5,0.01,-0.64,0.65,"Colorado",0.6,0.26,0.95,0.11,"Hwy 40 Bridge 2013",0.05,0.00462962962962963,0.00925925925925926,0.0138888888888889,0.0185185185185185,"raw_data",0.00936,0.00588,0.01524,0.08476,0.000683548387096774,0.0134539682539683,0.009906,5.19266129032258e-05,0.00102204761904762,0.0256022962962963,0.0138300740740741,0.0177541481481481,0.0216782222222222,0.00351352322163433,0.0016449165196943,0.00226778542034098,0.00289065432098765,0.000178509647550777,8.35723715651135e-05,0.000115218130227001,0.000146863888888889
